user_id,state
RyVpd9WTfCC4puHIL8x4CQ,CA
4ONcRRisDZkbV1cviA7nFw,QC
ZXwvMYWNfa0WoZ2mzU1QOA,ON
4dSX2TsK3jF-g8HzIpYGrg,NV
AJcwRgdkHtu3kOrEKlXq8A,ON
eOIMO2wT_WbNqmavhnCRxw,MB
Z9a1tDT8fVI75qXYwNhPpw,ON
mm9WYrFhiNqvHCyhQKw3Mg,MB
tcWnoX_IfuDmlDl6o6y3_g,TX
k24kSTpZHUdEd-QYXLy3fQ,IL
3Hn5PexeY0tir0uFWk4jJg,ON
5_vvuAY9sOVbJtBon8ce2A,QC
QvLg2kxqHHahxxOlHlEIZw,OH
CY9iLsE2z_yLhLqJdD1WGw,CA
YA-caxALI4C-eCiSM97new,NC
9SWtEX1k9AjRg93BAzMCpg,TX
m4fBjPA4SSIzQaNtr45Uow,AZ
8Cc9FbfwlwBvp__G6_SLvw,NE
LgFDWZTLi1w9OGi5BtKORg,AB
rhBT5AQi8LPTc3Mk2Qpxpw,ON
_ZsXsLg6rHvCzud00Pgk7w,IL
Hv_q_ZnSIoZwdcoH0CyV2Q,NV
By9qnb2xvnlh4wY7qOtKVg,NE
5_vvuAY9sOVbJtBon8ce2A,WI
IZXnSMdOkVdFH-mw6zQBbA,ON
bWoIe5ehjIxOMeElNzXShQ,NC
i-PZwf519Vu4ybNt9D8oEA,MB
54zqyneshZvyWymZLE6mJw,NC
JCBBmqUxWeEX8Y0tmYgD8g,AZ
6xi9tBoZ6r_v41u_XFsSnA,IL
gH0dJQhyKUOVCKQA6sqAnw,WI
dC9pqTxOJ18Zjh6r5otwSA,MB
6xi9tBoZ6r_v41u_XFsSnA,QC
lUPSEbFRd3jDOM5agGnjWQ,AB
453V8MlGr8y61PpsDAFjKQ,PA
QvLg2kxqHHahxxOlHlEIZw,NC
frQs7y5qa-X1pvAM0sJe1w,AZ
angEr2YcXmCl20s8WQu32w,CT
SVC0CajvmYfH5uAq4JnGvg,NC
453V8MlGr8y61PpsDAFjKQ,WI
tcWnoX_IfuDmlDl6o6y3_g,AZ
FyQrUamokaPLDrBxGmzPnA,QC
